address,group,roi,total_spent,total_sold,leftover_value,trade_count,shares_bought,shares_sold
0x000b69e1996431281998871b9d5db88bd8f033ae,A,0.0005855278566522991,0.759998,0.756,0.004443,2,0.844443,0.84
0x0021fe9b777545f63dc28b610c9173b8f8b78658,B,-0.001001001001001001,4.995,4.99,0.0,2,5.0,5.0
0x00fa1da7d2b8baa703a1d3554b5d1338be9030be,A,8.090909241818185,49.999999,0.0,454.545453,1,454.545453,0.0
0x0220f0954ba0029ed0f7a5db16d7dac7c3cc20b5,B,-0.0011664183381188058,115.49887,115.36415,0.0,8,115.72,115.72
0x02584443ceee8c2a77a1bf54572d8376d2065479,A,0.04712042408381681,0.999991,0.0,1.047111,1,1.047111,0.0
0x026fe7c4748f6c71ae4378d21818cacbb71963b6,B,-0.00100206745844443,429.38227,428.952,0.0,22,430.27,430.27
0x03638460bcf5a59912fc27d786f5008c4973d77f,A,0.022463574225876404,0.7399979999999999,0.7544,0.002221,2,0.822221,0.82
0x040ec398e277f9d7f366621dfa7ea5ddae088edf,A,0.015526492814904041,67596.592,499.0,68147.13,66,68647.13,500.0
0x04dcbd9b805b220a9b2d27e4d9e649ed07902387,B,1.7325204085118011,146.385,0.0,400.0,3,400.0,0.0
0x065eedbf3509a041f104aeced3966da1b85dcf28,A,0.1402508567084761,5.999999000000001,0.0,6.8415040000000005,1,6.8415040000000005,0.0
0x07211f011080a4bf3f5282cd64a71afc87e54a8f,A,0.3157894947368483,9.999997,0.0,13.157891,1,13.157891,0.0
0x07b34a692c3689b0f7e9265eb6658b3cad053420,A,0.25,0.33,0.0,0.4125,1,0.4125,0.0
0x08c897e4780c299061fe683120e5bb18cf931da2,A,-0.2699338681835906,7825.023689,5712.765168,0.019608,45,11132.645425,11132.625817
0x08d0549daa9932863a397f52670695dd01414cbd,A,0.0,185.376,185.376,0.0,4,192.0,192.0
0x09e6d660304b9590acd4910f17af31f5ed8a240c,B,65.66666666666667,2.88,0.0,192.0,1,192.0,0.0
